n,prompt_tokens,cached_tokens,completion_tokens,usd
100,14844,128,5519,0.0322181
100,14823,128,5659,0.03254185
100,15800,128,5524,0.0334256
100,15889,128,5486,0.033441849999999995
100,14378,128,5712,0.0321181
100,15105,128,7708,0.03801685
100,14314,128,7500,0.0365081
100,17334,128,7800,0.041033099999999996
100,16786,128,6079,0.0360456
100,15754,128,7735,0.038895599999999995
100,14436,128,5490,0.0316356
100,13824,128,7322,0.0354506
100,14841,128,7709,0.037689349999999996
100,14316,128,5637,0.031853099999999995
100,14525,128,5607,0.03203935
100,13967,128,5669,0.03149685
100,13722,128,7591,0.035995599999999996
100,14736,128,7688,0.0375056
100,14933,128,5613,0.03256435
100,14320,128,5746,0.032130599999999995
100,14622,128,5769,0.0325656
100,14857,128,5560,0.03233685
100,14926,128,7892,0.0382531
100,14494,128,7668,0.0371531
100,14213,128,7792,0.03711185
100,14703,128,7669,0.03741685
100,14062,128,7690,0.036668099999999995
100,14760,6912,5662,0.025347400000000003
100,14316,128,7675,0.0369481
100,14159,6912,7198,0.02843615
100,14071,128,5633,0.03153685
100,14534,128,7643,0.037140599999999996
100,13798,6912,7679,0.029187400000000002
100,14347,128,5524,0.03160935
100,14372,128,7721,0.037133099999999995
100,13819,128,7714,0.03642435
100,14287,128,7796,0.03721435
100,14560,14528,5577,0.0168881
100,14584,6912,5431,0.024549900000000003
100,14876,128,7740,0.0378106
100,14919,6912,7643,0.030498650000000002
100,15144,6912,7461,0.030324900000000002
100,13851,128,5739,0.031526849999999995
100,14105,128,7596,0.03648685
100,14530,128,7675,0.0372156
100,14621,6912,5611,0.025046150000000003
100,14553,6912,7721,0.03023615
100,14011,6912,7732,0.029586150000000002
100,14749,6912,7620,0.030228650000000003
100,14398,6912,7715,0.030027400000000003
100,14680,6912,7690,0.0303174
100,13702,128,7530,0.0358181
100,14638,128,7628,0.0372331
100,15245,128,7834,0.038506849999999995
100,14407,128,5504,0.03163435
100,14698,128,7930,0.038063099999999996
100,14118,128,7599,0.0365106
100,14569,6912,5412,0.024483650000000003
100,14686,6912,7826,0.030664900000000002
100,13782,6912,5656,0.0241099
100,13694,6912,5710,0.0241349
100,14038,6912,7592,0.0292699
100,14548,6912,5694,0.0251624
100,14142,6912,7358,0.0288149
100,14480,128,7547,0.0368331
100,14016,6912,7659,0.029409900000000003
100,14114,6912,5540,0.0242349
100,15066,6912,7578,0.030519900000000003
100,14585,6912,7628,0.03004365
100,14464,6912,5631,0.024899900000000003
100,14272,128,7682,0.0369106
100,12877,6912,5456,0.022478650000000003
100,13581,6912,7719,0.02901615
100,14272,128,7538,0.036550599999999996
100,12733,128,7224,0.03384185
100,13886,6912,5640,0.0241999
100,13034,128,7466,0.034823099999999996
100,14886,128,7757,0.0378656
100,13767,6912,7831,0.02952865
100,13203,6912,5497,0.022988650000000003
100,14488,6912,7831,0.030429900000000003
100,14009,6912,5630,0.02432865
100,14484,128,7455,0.0366081
100,14356,6912,7710,0.0299624
100,14187,128,7756,0.03698935
100,14563,6912,5502,0.02470115
100,14517,6912,5626,0.02495365
100,14641,6912,7636,0.03013365
100,14219,6912,5483,0.024223650000000003
100,14595,6912,5722,0.025291150000000002
100,16461,6912,5641,0.027421150000000002
100,14266,6912,7700,0.0298249
100,14642,6912,5689,0.025267400000000002
100,13983,128,5577,0.03128685
100,14783,6912,5647,0.02533865
100,13803,6912,7703,0.029253650000000003
100,14635,6912,5513,0.02481865
100,13976,6912,7706,0.0294774
100,14174,6912,5679,0.024657400000000003
100,14645,6912,7598,0.03004365
100,14124,128,7463,0.0361781
100,14970,6912,5495,0.0251924
100,13948,6912,7686,0.029392400000000003
100,14339,6912,5365,0.02407865
100,13959,128,7489,0.036036849999999995
100,14704,6912,5735,0.0254599
100,16845,6912,5776,0.02823865
100,13845,128,7700,0.03642185
100,17254,6912,5719,0.0286074
100,19105,128,5647,0.03786435
100,16971,6912,5701,0.028208650000000002
100,17899,128,5713,0.03652185
61,13095,6912,4681,0.020813650000000003
100,16452,6912,6119,0.028604900000000003
100,16383,6912,5914,0.02800615
100,18040,6912,7717,0.0345849
