id,author_id,created_at,date,hour,lang,body,has_ozempic,has_wegovy,has_semaglutide,has_mounjaro,has_zepbound,has_tirzepatide,has_retatrutide,has_glp1,has_weight_loss_drug,drug_in_text,drug_in_username,drug_in_link,is_rt,is_reply,is_quote,like_count,reply_count,retweet_count,quote_count,views_count,bookmarks_count,source,reply_to_status_id,reply_to_user_id,conversation_id,poll,embed,quoting_id,added_at,media,synced,embedded,version,source_file,snapshots,first_seen,has_media,topics,drugs,intent,emotions,stance,speaker,risks,named,confidence,topic_affordability_access,topic_grey_market,topic_telehealth_rx,topic_marketing_promo,topic_side_effects_safety,topic_medical_condition,topic_personal_experience,topic_cosmetic_vanity_use,topic_weight_loss_results,topic_celebrity_watch,topic_culture_war_body,topic_eating_disorder,topic_appearance_commentary,topic_politics_policy,topic_pharma_industry_critique,topic_finance_investing,topic_science_news,topic_conspiracy_misinfo,topic_humor_meme,topic_dating_sexual,topic_religion_morality,topic_fitness_muscle,topic_food_industry,topic_off_label_use,topic_spam_irrelevant,risk_grey_market_sourcing,risk_vendor_solicitation,risk_unverified_dosing_advice,risk_eating_disorder_signal,risk_self_harm_signal,risk_medical_misinformation,risk_minor_involved,risk_hateful_content,label_problems
2089140272688922808,1046042523637100544,2026-08-17 00:00:30+00:00,2026-08-17,0,en,RT @kzzrttt: god… look at what what ozempic is doing to our beloved stars…,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,361.0,0.0,0.0,0.0,,,,2089140272688922808,,,,2026-08-18 11:51:49.821000+00:00,,0,0,2026-08-18 11:51:49.615000+00:00,0,1,2026-08-18 11:51:49.615000+00:00,False,celebrity_watch|appearance_commentary,ozempic,gossip_speculate,sad_defeated,negative,observer_commentator,,,high,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089140347213393942,1661161377606533120,2026-08-17 00:00:47+00:00,2026-08-17,0,pt,RT @ChiqueiroVerdee: 👨‍💻E o Palmeiras do Abel que tomou um Mounjaro e perdeu a GORDURINHA bem rápido 🤭 https://t.co/A4EZ8T5QBg,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,5.0,0.0,0.0,0.0,,,,2089140347213393942,,,,2026-08-17 18:24:44.185000+00:00,"[{""type"":""photo"",""url"":""https://pbs.twimg.com/media/HP4dXP_XoAALLWm.jpg"",""expanded"":""https://x.com/ChiqueiroVerdee/status/2089139568490533040/photo/1"",""id_str"":""2089139562413006848"",""width"":1080,""height"":895}]",0,0,2026-08-17 18:24:43.968000+00:00,0,1,2026-08-17 18:24:43.968000+00:00,True,humor_meme|weight_loss_results,mounjaro,joke,joking,positive,observer_commentator,,,high,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089140534174527733,2062372727168651264,2026-08-17 00:01:32+00:00,2026-08-17,0,en,"Dropped serious weight on RETATRUTIDE and feeling great? Pull two labs almost nobody mentions. After I lost 37 pounds on retatrutide my homocysteine read 16.6 and my B12 sat at a low-normal 310. Neither is an emergency. Both are explainable, and both are cheap to fix. Here is the",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,35.0,5.0,0.0,0.0,3202.0,16.0,,,,2089140534174527733,,,,2026-08-19 21:57:32.255000+00:00,,0,0,2026-08-19 21:57:31.351000+00:00,0,1,2026-08-19 21:57:31.351000+00:00,False,weight_loss_results|side_effects_safety,retatrutide,share_experience,hopeful_excited,positive,current_user,,,high,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089140585718239644,829252914,2026-08-17 00:01:44+00:00,2026-08-17,0,en,"RT @drmarlonperalta: It's been 365+ days since I started bulking on retatrutide. I'm up 46 lbs lol.

Here are 12 lessons learned (starting…",False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.0,0.0,6.0,0.0,17.0,0.0,,,,2089140585718239644,,,,2026-08-18 23:22:56.084000+00:00,,0,0,2026-08-18 23:22:55.777000+00:00,0,1,2026-08-18 23:22:55.777000+00:00,False,personal_experience|weight_loss_results,retatrutide,share_experience,hopeful_excited,positive,current_user,,,high,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089140705616875672,829515204,2026-08-17 00:02:13+00:00,2026-08-17,0,en,Flight is two hours delayed but GLP1 makes me feel nothing 💗,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,27.0,0.0,,,,2089140705616875672,,,,2026-08-17 21:43:42.278000+00:00,,0,0,2026-08-17 21:43:42.138000+00:00,0,1,2026-08-17 21:43:42.138000+00:00,False,personal_experience,glp1_generic,share_experience,hopeful_excited,positive,current_user,,,high,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089140895941804393,1153472810573897728,2026-08-17 00:02:58+00:00,2026-08-17,0,en,RT @kzzrttt: god… look at what what ozempic is doing to our beloved stars…,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,307.0,0.0,0.0,0.0,,,,2089140895941804393,,,,2026-08-17 18:06:57.429000+00:00,,0,0,2026-08-17 18:06:55.155000+00:00,0,1,2026-08-17 18:06:55.155000+00:00,False,celebrity_watch|appearance_commentary,ozempic,gossip_speculate,sad_defeated,negative,observer_commentator,,,high,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089141309650968808,51373137,2026-08-17 00:04:37+00:00,2026-08-17,0,pt,A Paolla Oliveira explodindo de gostosa no Dança dos Famosos e deixando as viciadas em mounjaro em pânico.,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2.0,0.0,0.0,0.0,265.0,1.0,,,,2089141309650968808,,,,2026-08-17 17:27:23.168000+00:00,,0,0,2026-08-17 17:27:22.714000+00:00,0,1,2026-08-17 17:27:22.714000+00:00,False,appearance_commentary|culture_war_body,mounjaro,opinion_argue,shaming_mocking,negative,observer_commentator,,Paolla Oliveira,high,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089141349014458489,759071689426731009,2026-08-17 00:04:46+00:00,2026-08-17,0,en,"RT @ClownWorld: Oprah says an “obesity gene” caused her to overeat and credits GLP-1 drugs with helping her lose 80 pounds. At some point,…",False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,0.0,0.0,120.0,0.0,0.0,0.0,,,,2089141349014458489,,,,2026-08-17 17:21:07.514000+00:00,,0,0,2026-08-17 17:21:05.954000+00:00,0,1,2026-08-17 17:21:05.954000+00:00,False,celebrity_watch|weight_loss_results,glp1_generic,inform_news,neutral_factual,neutral,observer_commentator,,Oprah Winfrey,high,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089141695258775563,107128390,2026-08-17 00:06:09+00:00,2026-08-17,0,en,"Chrissy Metz fires back at critics who won't stop commenting on her body — whether she's losing weight or not, while on ""The Tamsen Show"" podcast.

The ""This Is Us"" actress, now starring in Broadway's ""&amp; Juliet,"" revealed she started taking a GLP-1 medication after her father https://t.co/P3LYoKLXjm",False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1.0,1.0,0.0,0.0,964.0,0.0,,,,2089141695258775563,,,,2026-08-17 18:37:29.391000+00:00,"[{""type"":""photo"",""url"":""https://pbs.twimg.com/media/HP4fTPabgAA09LF.jpg"",""expanded"":""https://x.com/FoxNewsEnt/status/2089141695258775563/photo/1"",""id_str"":""2089141692561850368"",""width"":1280,""height"":720}]",0,0,2026-08-17 18:37:28.392000+00:00,0,1,2026-08-17 18:37:28.392000+00:00,True,celebrity_watch|personal_experience,glp1_generic,inform_news,neutral_factual,neutral,observer_commentator,,Chrissy Metz,high,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089141918504477106,1259265202924773377,2026-08-17 00:07:02+00:00,2026-08-17,0,en,RT @kzzrttt: god… look at what what ozempic is doing to our beloved stars…,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,269.0,0.0,0.0,0.0,,,,2089141918504477106,,,,2026-08-17 13:04:53.165000+00:00,,0,0,2026-08-17 13:04:52.722000+00:00,0,1,2026-08-17 13:04:52.722000+00:00,False,celebrity_watch|appearance_commentary,ozempic,gossip_speculate,sad_defeated,negative,observer_commentator,,,high,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
2089142727770599923,2042802106172620800,2026-08-17 00:10:15+00:00,2026-08-17,0,en,When i get prescribed semaglutide for my fatahh wooooo no more food noise 😭🤞 better help fr im tryna be 87lbs,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,16.0,0.0,,,,2089142727770599923,,,,2026-08-17 05:03:21.666000+00:00,,0,0,2026-08-17 05:03:21.062000+00:00,0,1,2026-08-17 05:03:21.062000+00:00,False,eating_disorder|cosmetic_vanity_use,semaglutide,share_experience,hopeful_excited,positive,prospective_user,eating_disorder_signal|minor_involved,,high,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,
2089142759240118442,124270469,2026-08-17 00:10:22+00:00,2026-08-17,0,und,Ozempic is a miracle drug.,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,14.0,1.0,1.0,0.0,860.0,0.0,,,,2089142759240118442,,,2088780971017461910,2026-08-17 05:54:21.426000+00:00,,0,0,2026-08-17 05:54:20.851000+00:00,0,1,2026-08-17 05:54:20.851000+00:00,False,personal_experience|weight_loss_results,ozempic,praise_endorse,praising|hopeful_excited,strongly_positive,observer_commentator,,,high,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
