claim_id,example_tweet_id,text,primary_topic,topics,drugs,intent,tone,sarcastic,stance,speaker,risks,confidence,labeler,notes,vader
23d09af633e8b284,2089426559895781537,RT @stuzi_pants: Those Ozempic jabs don’t half make you come out in 1930’s Nazi propaganda,,,,,,,,,,,,,-0.250
f9e0f537de32ae59,2089332135953899892,RT @DeeWeb85: Ozempic hit the streets and the entire body positivity movement died. Funny how that works.,,,,,,,,,,,,,0.382
62568dce0950a2cd,2089227992543252876,RT @RivalsAssembled: Can this Fat A*s take some Ozempic already Via/Plenty-Sundae1506 https://t.co/9HlqjGACdv,,,,,,,,,,,,,0.000
5da285dfd3b2c61b,2089289074649546880,"RT @Be_like_legend: Ozempic wasn't built for ADHD, but scientists just found it quiets the exact brain circuit responsible for impulsivity…",,,,,,,,,,,,,0.450
b89f6f50181d4a84,2089481116012949760,Alcolumbre parou com o Mounjaro? https://t.co/IJUyntF7u3,,,,,,,,,,,,,0.000
e16a8f2a37923a66,2089387956037431323,"RT @ThePosieParker: Goodness me, Eddie Izzard has been on the old Ozempic!",,,,,,,,,,,,,0.509
68c6f3a3ef76b57b,2089370610769989775,"RT @HanCardiomd: Effect of #semaglutide on kidney outcomes in the #SELECT, #FLOW, and #SOUL trials: a prespecified pooled analysis Pooled…",,,,,,,,,,,,,0.000
1c18d24fcc2ac18c,2089172140851708255,"Maybe she should steal some Ozempic....🤔 “Most of what we saw were crimes of poverty-people who are stealing things like toothpaste, people who were stealing things like, you know, soap. “And that means if you’re stealing those things, you need them,” Socialist New York https://t",,,,,,,,,,,,,-0.883
95c1114328082f7a,2089364992374038925,"RT @Reuters: Nestle shifts strategy on GLP-1 weight-loss drugs, developing protein, collagen and nutrient products to address side effects…",,,,,,,,,,,,,0.000
fc94d619c5ddd372,2089382728391098635,"RT @scottisaacsmd: Interesting perspective on #tirzepatide #microdosing: dose individualization can be helpful for some patients, but fract…",,,,,,,,,,,,,0.412
44ac98261a3cf793,2089154824730521847,"saw someone in recovery on instagram reels post abt how he's still suffering from long-term consequences of his ED including gastroparesis etc and all the comments are calling him ""too recovered"" and fat now. i feel sick.",,,,,,,,,,,,,-0.751
8bbdfca50f3ba4b3,2089193545471029302,RT @badgate: GLP-1 ads be like: https://t.co/e2GmKOjFz5,,,,,,,,,,,,,0.361
1c1b7f61b04bdcb0,2089255069787000926,RT @BenedictSpence: Imagine spending all that money on Ozempic when you could have just waited and had famine for free.,,,,,,,,,,,,,0.511
cc791c27b672a17f,2089399301113839685,"RT @ClownWorld: Oprah says an “obesity gene” caused her to overeat and credits GLP-1 drugs with helping her lose 80 pounds. At some point,…",,,,,,,,,,,,,0.250
add95f6027e690ec,2089298260343275614,RT @GrrrGraphics: Maybe she should steal some Ozempic....🤔 “Most of what we saw were crimes of poverty-people who are stealing things like…,,,,,,,,,,,,,-0.784
edfabb89f02952c9,2089359051180118403,"Chinese synthesized, Ozempic-like compounds that people oddly terrified of fentanyl and whom certainly don't ""trust the experts"", have seemingly no problem shooting into their buttcheek",,,,,,,,,,,,,-0.848
5f800993acf2cdf3,2089169068079435777,i love tirzepatide it helps with my alc cravings sm,,,,,,,,,,,,,0.778
6dcc76e87d786203,2089330546530734585,"Fuck you, i hope the Ozempic finishes you off.",,,,,,,,,,,,,-0.153
ae2c7d4aecaa2b02,2089381234426175576,"I want people who take GLP1s to know: You’re NOT cheating. You’re NOT lazy. You’re NOT weak. You’re NOT greedy. You’re NOT weak-willed. You’re doing the best you can for your body. You’ve made a decision to take back control and fight for yourself. That’s a brave,",,,,,,,,,,,,,0.929
8ff2d88a548eb673,2089175634744353113,"RT @VW8872551316799: @nypost Suck on your Ozempic, bitch! They don’t need you.",,,,,,,,,,,,,-0.790
d4ec7503172ec3f2,2089400275157016659,"“Trials have confirmed if you stop the Ozempic/Wegovy/Mounjaro you will regain more than 80% of the weight you lost in less than two years,” he says. “You need to see these drugs as a long-term treatment strategy.”",,,,,,,,,,,,,-0.542
87a277f9603b21cc,2089166620027695530,RT @Nancy023922191: (Herald Sun 14/8/2026) Australia is Being Used as Dumping Ground for Big Pharma Yet Again. This Time it’s Ozempic the…,,,,,,,,,,,,,-0.318
5f3bf85156335b26,2089428145808052404,GLP1: Bro you’re not hungry ME: fuck off I’m eating my weight in chicken wings today,,,,,,,,,,,,,0.431
2dbecdefd3c268a5,2089465944577860063,RT @CardioRheum_Net: Don't miss a Cross-Specialty Dialogue on Cardiovascular Drug Safety #GLP1 #Statin #JAK inhibitors and more by Dr. @gar…,,,,,,,,,,,,,0.306
67702a23a40d42ff,2089412054864028122,"In phase 2 #MASH data, adding zalfermin to semaglutide did not show additional fibrosis benefit over semaglutide alone. The findings add to the evolving evidence base around incretin-based approaches in MASH. Hear from author @DrLoomba and learn more: https://t.co/h9yTHWLjZF",,,,,,,,,,,,,0.250
43cd496bd3c5f42f,2089275782661108025,You already know it's time to hit the pharma Pharma scripts ready Method e-prescription Xan💊 perc💊 addy💊 Lean🍼 ozempic @comdox_rx,,,,,,,,,,,,,0.361
d70aeb56abca4831,2089416291270422875,I know someone who has tried everything to lose weight for the past 20 years. He's done with all of it and yesterday decided to go forward with GLP-1 treatment. And you're bearish on companies like $HIMS?,,,,,,,,,,,,,-0.052
4499e55835b923d1,2089348898229993568,I js saw someone say if u stop a glp1 u gain it ALL back. Can someone confirm or deny whether or not this is true bc if I gain more than a couple pounds (which I expect) I'm blowing my shit smooth off,,,,,,,,,,,,,-0.408
f106dd26cd4099e7,2089299557607760260,Chrissy Metz Slams 'Judgy' Critics Over Her GLP-1 Weight Loss: 'It Doesn’t Matter What I Do' https://t.co/4S4Bx0wx6r https://t.co/sILC7qx2a9,,,,,,,,,,,,,-0.527
b7dc221d90f9ea27,2089377364212158939,RT @ithurtstowalk: going to the supermarket on a sunday will make you remember why ozempic should be free and mandatory,,,,,,,,,,,,,0.557
1f8898dedde827fb,2089432933534990692,"When the AI said “stop,” and then coached her to keep going A 38F asked Grok 4 about compounded Semaglutide she had bought through an Instagram telehealth service for $199 a month. Vomiting twice a week, hard lumps at injection sites, four months of vials at home; the company htt",,,,,,,,,,,,,-0.103
7af35e317d58e55b,2089356951918387312,"$NVO $LLY U.S. News &amp; World Report has released its first ratings of the best GLP-1 telehealth platforms in the U.S. The organization evaluated 20 platforms offering FDA-approved, brand-name GLP-1 medicines such as Wegovy, Zepbound, Ozempic and Foundayo, using 14,161 data",,,,,,,,,,,,,0.637
d22a69dfa08394d5,2089397976544215465,"Fat is fit. Healthy comes in all sizes. The Hegelian dialectic. Big pHARMa created the problem using plus size propaganda, muck bang influencers in every magazine/tv show/movie, and boom here’s the solution. Ozempic. Another way to bankrupt Medicare with a big ass side show act.",,,,,,,,,,,,,-0.511
cac0b7b8983e094a,2089281879145132075,sidney crosby himself will heal my gastroparesis he’s everywhere https://t.co/7zga4v5yGu,,,,,,,,,,,,,0.000
43a93d95fa9b4f65,2089147385964286060,"Capstone Peptides has Retatrutide (listed as GLP-3R) in stock! Use code PROFPEPTIDE for 10% off. 🔥 Capstone Peptides also carries other metabolic peptides including Tirzepatide (listed as GLP-2T), Semaglutide (listed as GLP-1S) and MOTS-C. Every batch is third-party tested by",,,,,,,,,,,,,0.000
b57b162bf5545bb3,2089316291131654387,"Amino Club has Retatrutide in stock! Use code PROFPEPTIDE for 35% off through August 31. 🔥 Amino Club also carries other metabolic peptides including Tirzepatide, Semaglutide, Cagrilintide and MOTS-C. Every batch is tested by an ISO/IEC 17025-accredited third-party laboratory",,,,,,,,,,,,,0.000
762814191bffb3f1,2089444676696740177,"RT @stat_biz: The onboarding for ""MeAgain,"" a GLP-1 tracking app that's grown to $77K/month, is impressive. 27 screens total. It's an app…",,,,,,,,,,,,,0.511
6216fcf5b8f4b423,2089405937391911230,So are we getting any receipts from Dr. Evidence here? Evidence that Gary Breka himself put Dana on both TRT and Ozempic?,,,,,,,,,,,,,0.000
20273c460c99a836,2089440674584154536,I looked up Zepbound &amp; Mounjaro bc I know pple who use it WHAT I FOUND WILL BLOW YOUR MIND... btwn Big Agriculture &amp; Big Pharma Insecticides &amp; FUNGICIDES Are Causing the Majority of Our Health Problems VIA OVERGROWN GUT FUNGUS Obesity DM2 Dementia Cardiac Dis Crohn's ,,,,,,,,,,,,,-0.402
41a46678135b111e,2089476118692684006,"As more people turn to GLP-1 weight-loss medications, a subculture rooted in rejecting narrow beauty standards faces its latest evolution. https://t.co/rlR8w1oBsw",,,,,,,,,,,,,0.202
46d4d653ef206259,2089478355347530009,Nestlé Develops GLP-1 Products While Novo Nordisk Peers Face Food Demand Shift: Nestlé is responding to the rise of GLP-1 weight-loss drugs by developing products aimed at users of medicines like Wegovy and Ozempic. The… https://t.co/9HGAzut8Pt #MarketUpdates Follow us for more h,,,,,,,,,,,,,0.250
d50bbeb2454efd7e,2089344959606632707,"I am quite wary of starting Ozempic or Monjaro on obese people beyond 50 years of age, especially if they are sedentary and if they are not willing to strength train. I would be causing them more harm than good by prescribing them these medicines. Muscle loss with these GLP 1",,,,,,,,,,,,,-0.676
b4c8740c19ac031a,2089393726821204379,Who can be my ozempic dealer,,,,,,,,,,,,,0.000
4a3895c799e91814,2089316579955679503,The ozempic epidemic has reached tony stark too 😭😂,,,,,,,,,,,,,0.103
6477af0c3a3b9190,2089466671878590773,"🚨 Everyone asks me about butter and bacon. Almost nobody asks me about fiber. That is the real mistake in how America thinks about heart disease. 🫀 I am a cardiologist. I have patients on statins, patients on GLP1s, patients on nothing but lifestyle change. The ones who fix https",,,,,,,,,,,,,-0.178
44bfb9b1837c3666,2089359151184941511,A law student in London was prescribed weight loss medication and later found dead in her dorm room. Teenager Dies After GLP-1 + Fake Avocado Oil + School Based Health Centers https://t.co/ygp6MQbCd1,,,,,,,,,,,,,-0.866
69263615572ac9a5,2089495697363976407,RT @Jingle_BELLS_25: Hey @JumboHart! Im working hard to raise awareness for Gastroparesis as this month is Gp Awareness month. Im hopeful P…,,,,,,,,,,,,,0.493
550f9b4dcc66c78a,2089235990619525376,Plastic Surgeons Say Ozempic Weight Loss Is Driving More Patients To “Zombie Filler” Made From Deceased Donor Fat Read more at https://t.co/s5HfS5teAi Source: USA TODAY / The Guardian https://t.co/U49z5rbX7A,,,,,,,,,,,,,-0.318
49c021fb15f74e17,2089322356544086399,"@areyoflight Mounjaro (tirzepatide) risks – quick facts:Boxed warning: Thyroid C-cell tumors in rats (unknown if it happens in humans). Avoid if you/family have medullary thyroid cancer or MEN 2.Common: Nausea, diarrhea, vomiting, constipation, reduced appetite, stomach pain (oft",,,,,,,,,,,,,-0.888
